Id,IsRelevant, Property_Name, Value_Example
58,true,spouse, Example:  value:Rita_Wilson
59,true,style, Example:  value:padding:10px;
60,true,title, Example:  value:Vertigo
61,false,voy, Example:  value:no
62,false,width, Example:  value:25
63,true,years, Example:  value:
64,true,homepage, Example:  value:www.rushlimbaugh.com
65,false,module, Example:  value:--09-30
66,false,bgcolor, Example:  value:#E0E6F8
67,true,citizenship, Example:  value:
68,true,father, Example:  value:Arnold_Spielberg
69,true,mother, Example:  value:Cynthia_Germanotta
70,true,otherNames, Example:  value:Nils Sjeoberg
71,false,q, Example:  value:Tom Hanks
72,true,relatives, Example:  value:William_Mapother
73,true,alias, Example:  value:Nils Sjeoberg
74,true,relative, Example:  value:William_Mapother
75,false,owl#differentFrom, Example:  value:Weekend
76,false,qalign, Example:  value:center
77,false,quoted, Example:  value:1
78,true,associatedActs, Example:  value:The Pretty Things
79,true,currentMembers, Example:  value:* Bono * Adam Clayton * The Edge * Larry Mullen Jr.
80,true,genre, Example:  value:Rock_music
81,false,landscape, Example:  value:yes
82,true,origin," Example:  value:Dublin, Ireland"
83,false,salign, Example:  value:center
84,true,birthname, Example:  value:Benjamin Geza Affleck-Boldt
85,true,party, Example:  value:Independent_voter
86,true,collapsible, Example:  value:true
87,true,relations, Example:  value:Douglas_Pitt
88,true,relation, Example:  value:Bobby_Pacquiao
89,false,border, Example:  value:1
90,false,commonscat, Example:  value:yes
91,false,fontsize, Example:  value:90.0
92,true,footer," Example:  value:Tesfaye cites Michael Jackson, Prince, and R. Kelly as his main musical inspirations"
93,false,image," Example:  value:U2 PopMart Tour, Belfast, August 1997 .jpg"
94,true,parents, Example:  value:Robert_Downey_Sr.
95,false,totalWidth, Example:  value:350
96,true,child, Example:  value:Chet_Hanks
97,true,parent, Example:  value:Robert_Downey_Sr.
98,false,imageSize, Example:  value:275
99,true,pastMembers, Example:  value:* Dik Evans * Ivan McCormick
100,true,bandMember, Example:  value:Larry_Mullen_Jr.
101,true,formerBandMember, Example:  value:Dik_Evans
102,true,hometown, Example:  value:Dublin
103,true,recordLabel, Example:  value:Mercury_Records
104,true,content, Example:  value:2006-05-27
105,false,contentstyle, Example:  value:text-align:left
106,false,description," Example:  value:-The Fly- features hip-hop beats, distorted vocals, and a hard industrial edge that differed from U2's typical sound."
107,false,filename, Example:  value:U2 Vertigo.ogg
108,false,format, Example:  value:Ogg
109,false,imageUpright, Example:  value:0.9
110,false,pos, Example:  value:right
111,true,website, Example:  value:www.pauladeen.com
112,false,soundRecording, Example:  value:U2__Sound__1
113,true,date, Example:  value:2012-09-16
114,false,direction, Example:  value:vertical
115,false,footerAlign, Example:  value:center
116,false,header, Example:  value:Springsteen at a Barack Obama campaign rally
117,false,headerAlign, Example:  value:left/right/center
118,false,url, Example:  value:ViewArticle.dbml%3FDB_OEM_ID=5200&ATCLID=174841
119,true,nationality, Example:  value:United_States
120,true,activeYearsEndYear, Example:  value:1986
121,true,reason, Example:  value:Persistent disruptive editing
122,true,youthclubs, Example:  value:Associacao_Atletica_Portuguesa_(Santos)
123,true,youthyears, Example:  value:2003
124,false,author, Example:  value:yes
125,true,fullname, Example:  value:Eldrick Tont Woods
126,true,goals, Example:  value:107
127,true,height, Example:  value:1.8542
128,true,position, Example:  value:Center_(basketball)
129,true,caps, Example:  value:177
130,true,clubUpdate, Example:  value:--11-13
131,true,clubs, Example:  value:Paris_Saint-Germain_F.C.
132,true,nationalcaps, Example:  value:122
133,true,nationalgoals, Example:  value:75
134,true,nationalteam, Example:  value:Brazil Olympic
135,true,nationalteamUpdate, Example:  value:2022-11-24
136,true,nationalyears, Example:  value:2016
137,true,careerStation, Example:  value:Shaquille_O'Neal__CareerStation__6
138,true,team, Example:  value:Orlando_Magic
139,true,notableworks, Example:  value:Women's Murder Club series
140,true,type, Example:  value:author
141,true,notableWork, Example:  value:Women's_Murder_Club_(book_series)
142,true,organisation, Example:  value:Savage X Fenty
143,false,bg, Example:  value:#FFDF00
144,true,agent, Example:  value:Scooter_Braun
145,false,bordercolor, Example:  value:blue
146,true,fg, Example:  value:navy
147,true,education, Example:  value:Chabot_College
148,true,fate, Example:  value:Inactive
149,true,founded, Example:  value:2007
150,true,founder, Example:  value:Dr. Dre
151,true,industry, Example:  value:Film production company
152,true,owner, Example:  value:New_Line_Cinema
153,null,wikiPageRedirects, Example:  value:Eagles_(band)
154,null,wikiPageDisambiguates, Example:  value:R._L._Drake_Company
155,true,family, Example:  value:Anoa'i_family
156,true,weight, Example:  value:83916.0
157,true,bowlgames, Example:  value:* Cotton Bowl Classic * Orange Bowl
158,true,currentnumber, Example:  value:94
159,true,currentposition, Example:  value:Defensive_tackle
160,true,heightft, Example:  value:6
161,true,heightin, Example:  value:5
162,true,highlights, Example:  value:* 4x NBA champion * 3x NBA Finals MVP * NBA Most Valuable Player * 15 NBA All-Star * 3x NBA All-Star Game MVP * 8x All-NBA First Team * 2x All-NBA Second Team * 4x All-NBA Third Team * 3x NBA All-Defensive Second Team * NBA Rookie of the Year * NBA All-Rookie First Team * 2x NBA scoring champion * 2x IBM Award * NBA anniversary team * No. 34 retired by Los Angeles Lakers * No. 32 retired by Miami Heat * Associated Press Player of the Year * UPI Player of the Year * Adolph Rupp Trophy * 2x Consensus first-team All-American * 2x SEC Player of the Year * NCAA blocks leader * NCAA rebounding leader * No. 33 retired by LSU Tigers * FIBA World Championship MVP * USA Basketball Male Athlete of the Year * McDonald's All-American Game Co-MVP * First-team Parade All-American * Texas Mr. Basketball
163,true,highschool, Example:  value:
164,true,major, Example:  value:Criminology and physiology
165,true,pastschools, Example:  value:* Miami (FL)
166,true,honorificSuffix, Example:  value:Order_of_the_British_Empire
167,true,medium, Example:  value:Stand-up
168,true,honorificPrefix, Example:  value:The_Right_Excellent
169,true,nick, Example:  value:Tiger
170,null,ko, Example:  value:27
171,false,next, Example:  value:Jose Luis Castillo
172,true,nickname, Example:  value:Tiger
173,false,rows, Example:  value:2
174,true,section, Example:  value:Discussion about whom
175,null,text, Example:  value:citaded
176,true,total, Example:  value:50
177,true,wins, Example:  value:50
178,true,decWins, Example:  value:23
179,null,koWins, Example:  value:27
180,true,nonscore, Example:  value:2
181,true,reach, Example:  value:72.0
182,true,imdbId, Example:  value:1114695
183,false,core#exactMatch, Example:  value:i95412
184,false,video, Example:  value:--02-22
185,false,halign, Example:  value:left
186,false,viaf, Example:  value:116796842
187,true,period, Example:  value:1997
188,false,by, Example:  value:yes
189,true,onlinebooks, Example:  value:no
190,true,pseudonym, Example:  value:Robert Galbraith
191,true,deathPlace," Example:  value:Palm Beach, Florida, US"
192,true,deathDate, Example:  value:2021-02-17
193,true,deathYear, Example:  value:2021
194,true,television, Example:  value:The X Factor US
195,true,boards, Example:  value:
196,true,board, Example:  value:Aspiro
197,true,active, Example:  value:2001
198,true,partner, Example:  value:Gelila Bekele
199,true,username, Example:  value:kanyewest
200,true,archiveDate, Example:  value:2022-10-09
201,false,archiveUrl, Example:  value:1578957396604424193
202,false,imageCaption, Example:  value:Perry performing in 2021
203,false,small, Example:  value:yes
204,false,signatureSize, Example:  value:40
205,null,stat1label, Example:  value:Point_(basketball)
206,null,stat1value, Example:  value:28596
207,null,stat2label, Example:  value:Rebound_(basketball)
208,null,stat2value, Example:  value:13099
209,null,stat3label, Example:  value:Block_(basketball)
210,null,stat3value, Example:  value:2732
211,true,weightLb, Example:  value:250
212,true,champion, Example:  value:y
213,true,heightFt, Example:  value:6
214,true,heightIn, Example:  value:6
215,true,leader, Example:  value:y
216,true,highSchool, Example:  value:* Robert G. Cole
217,false,bbr, Example:  value:o/onealsh01
218,true,careerEnd, Example:  value:2011
219,true,careerNumber, Example:  value:32343336
220,true,careerPosition, Example:  value:Center_(basketball)
221,true,careerStart, Example:  value:1992
222,true,draftPick, Example:  value:1
223,true,draftRound, Example:  value:1
224,true,draftTeam, Example:  value:Orlando_Magic
225,true,draftYear, Example:  value:1992
226,true,heightFootnote," Example:  value:ref|In 2017, Vanessa Bryant said that Kobe was 6 feet 4 and 3/4 inches (1.95 m) without shoes and  with shoes. In 2006, Bryant said that he was . In 2008, he stated he was -probably-  in shoes.|group=lower-alpha|name=height_note"
227,true,hofPlayer, Example:  value:shaquille-oneal
228,true,nba, Example:  value:893
229,true,knownFor, Example:  value:Kylie_Cosmetics
230,true,league, Example:  value:National_Basketball_Association
231,null,number, Example:  value:32343336
232,false,record, Example:  value:y
233,true,clubnumber, Example:  value:10
234,true,currentclub, Example:  value:Paris_Saint-Germain_F.C.
235,false,perrow, Example:  value:2
236,true,loser, Example:  value:Sarangani Reconciliation and Reformation Organization
237,null,branch, Example:  value:25
238,true,candidate, Example:  value:Roy Chiongbian
239,true,office, Example:  value:Chair of the Senate Ethics and Privileges Committee
240,true,percentage, Example:  value:100
241,true,predecessor, Example:  value:Erwin Chiongbian
242,true,rank, Example:  value:40
243,true,state, Example:  value:collapsed
244,true,successor, Example:  value:Rogelio Pacquiao
245,true,termEnd, Example:  value:2022-06-30
246,true,termStart, Example:  value:2018-09-18
247,true,votes, Example:  value:214969
248,true,winner, Example:  value:United Nationalist Alliance
249,true,otherparty, Example:  value:Nacionalista
250,true,militaryService, Example:  value:Manny_Pacquiao__MilitaryService__1
251,true,termPeriod, Example:  value:Manny_Pacquiao__Tenure__4
252,true,stat21label, Example:  value:Batting average
253,true,stat21value, Example:  value:0.252
254,true,stat22label, Example:  value:Runs batted in
255,true,stat22value, Example:  value:8
256,true,stat2league, Example:  value:Arizona Fall League
257,true,statleague, Example:  value:Southern League
258,true,statsLeague, Example:  value:NBA
259,true,statyear, Example:  value:1994
260,true,throws, Example:  value:Right
261,true,college, Example:  value:Stanford_University
262,true,draftpick, Example:  value:3
263,true,draftround, Example:  value:1
264,true,draftyear, Example:  value:1984
265,true,finaldate, Example:  value:--03-10
266,false,float, Example:  value:right
267,true,teams, Example:  value:* Birmingham Barons * Scottsdale Scorpions
268,true,weightLbs, Example:  value:216
269,false,bats, Example:  value:Right
270,true,debut2league, Example:  value:Arizona_Fall_League
271,true,debut2team, Example:  value:Scottsdale Scorpions
272,true,debut2year, Example:  value:1994
273,true,debutdate, Example:  value:--04-08
274,true,debutleague, Example:  value:Southern_League_(1964-2020)
275,true,debutteam, Example:  value:Birmingham Barons
276,true,debutyear, Example:  value:1994
277,true,draftteam, Example:  value:Chicago_Bulls
278,true,fibaHofPlayer, Example:  value:Shaquille-O-Neal
279,true,finalleague, Example:  value:Southern League
280,true,finalteam, Example:  value:Birmingham Barons
281,true,finalyear, Example:  value:1995
282,true,background, Example:  value:group_or_band
283,true,imagesize, Example:  value:250
284,true,restaurants," Example:  value:The Lady & Sons Restaurant, Paula Deen's Family Kitchen , Paula Deen's Creek House"
285,true,motto, Example:  value:ECCE COR MEUM
286,false,notes, Example:  value:--06-18
287,true,crest, Example:  value:On a wreath of the colours a Liver Bird calling Sable supporting with the dexter claws a guitar Or stringed Sable.
288,true,escutcheon, Example:  value:Or between two Flaunches fracted fesswise two roundels Sable over all six guitar strings palewise throughout counterchanged.
289,true,singlestitles, Example:  value:103
290,true,turnedpro, Example:  value:1998
291,true,usopendoublesresult, Example:  value:3.0
292,true,usopenresult, Example:  value:W
293,true,wimbledondoublesresult, Example:  value:QF
294,true,wimbledonresult, Example:  value:W
295,true,coach, Example:  value:Severin_Leuthi
296,true,residence," Example:  value:Jupiter_Island,_Florida"
297,true,retired, Example:  value:2022
298,true,lost, Example:  value:60
299,true,won, Example:  value:369
300,true,australianopendoublesresult, Example:  value:3.0
301,true,australianopenresult, Example:  value:W
302,true,careerprizemoney, Example:  value:1.30594339E8
303,true,daviscupresult, Example:  value:W
304,true,doublestitles, Example:  value:8
305,true,frenchopendoublesresult, Example:  value:1.0
306,true,frenchopenresult, Example:  value:W
307,true,highestdoublesranking, Example:  value:No. 24
308,true,highestsinglesranking, Example:  value:List_of_ATP_number_1_ranked_singles_tennis_players
309,true,hopmancupresult, Example:  value:W
310,false,integer, Example:  value:yes
311,true,masterscupresult, Example:  value:W
312,true,medaltemplatesExpand, Example:  value:yes
313,true,medaltemplatesTitle, Example:  value:Olympic medal record
314,true,olympicsdoublesresult, Example:  value:15
315,true,olympicsresult, Example:  value:15
316,null,othertournaments, Example:  value:yes
317,null,othertournamentsdoubles, Example:  value:yes
318,true,plays, Example:  value:Right-handed (one-handed backhand)
319,true,careerPrizeMoney, Example:  value:1.30594339E8
320,true,restingPlace, Example:  value:St._Louis
321,true,ft, Example:  value:7
322,true,in, Example:  value:10
323,true,cbbaskhofYear, Example:  value:2014
324,true,draftLeague, Example:  value:NBA
325,true,espn, Example:  value:614
326,true,nbaHistorical, Example:  value:shaquille_oneal
327,null,group, Example:  value:nb
328,null,1a, Example:  value:Gould
329,null,1p, Example:  value:206
330,null,1y, Example:  value:2007
331,null,2a, Example:  value:Lewisohn
332,null,2p, Example:  value:33
333,null,2y, Example:  value:1988
334,false,colwidth, Example:  value:30
335,false,indent, Example:  value:yes
336,false,1pp, Example:  value:290
337,false,2pp, Example:  value:5962
338,true,show, Example:  value:30
339,true,spinoffOf, Example:  value:The_Quarrymen
340,true,spinoffs, Example:  value:Plastic_Ono_Band
341,true,associatedBand, Example:  value:The_New_Barbarians_(band)
342,true,associatedMusicalArtist, Example:  value:The_New_Barbarians_(band)
343,true,usopen, Example:  value:Won: 2000 * 2002 * 2008
344,true,wghofid, Example:  value:tiger-woods
345,true,wghofyear, Example:  value:2021
346,true,yearpro, Example:  value:1996
347,true,open, Example:  value:Won: 2000 * 2005 * 2006
348,true,year, Example:  value:9223372036854775807
349,true,pga, Example:  value:Won: 1999 * 2000 * 2006 * 2007
350,true,tour, Example:  value:PGA_Tour
351,true,asiawins, Example:  value:2
352,true,auswins, Example:  value:3
353,true,awardssection, Example:  value:List of career achievements by Tiger Woods#Awards
354,true,eurowins, Example:  value:41
355,true,japwins, Example:  value:3
356,true,majorwins, Example:  value:15
357,true,masters, Example:  value:Won: 1997 * 2001 * 2002 * 2005 * 2019
358,true,otherwins, Example:  value:17
359,true,pgawins, Example:  value:82
360,true,prowins, Example:  value:110
361,true,winsAtAsia, Example:  value:List_of_career_achievements_by_Tiger_Woods
362,true,winsAtPGA, Example:  value:List_of_career_achievements_by_Tiger_Woods
363,true,winsAtAus, Example:  value:List_of_career_achievements_by_Tiger_Woods
364,true,winsAtJapan, Example:  value:List_of_career_achievements_by_Tiger_Woods
365,true,winsAtOtherTournaments, Example:  value:List_of_career_achievements_by_Tiger_Woods
366,true,winsAtProTournaments, Example:  value:List_of_career_achievements_by_Tiger_Woods
367,true,winsInEurope, Example:  value:List_of_career_achievements_by_Tiger_Woods
368,true,link, Example:  value:Wikipedia:
369,false,nocat, Example:  value:yes
370,false,help, Example:  value:no
