label (Source A),value (Source A),value (common),value (Source B),label (Source B)
spouse,1999-07-04,Victoria Beckham,,spouse
relatives,Nicola_Peltz,,,
height,1.8288 | 182.88,182 | 183,183,height
birthName,,David Robert Joseph Beckham,,birth name
father,,Brooklyn Beckham | David Edward Alan Beckham,Cruz Beckham | Romeo Beckham | Harper Beckham,father
agent,Simon Fuller,,,
title,England squads | Awards,,,
before,Paula_Radcliffe,,,
penaltiesScoredPlayer,2002_FIFA_World_Cup_statistics,,,
relative,Nicola_Peltz,,,
organisation,UNICEF | Malaria_No_More,,,
isPrimaryTopicOf,David_Beckham,,,
after,Landon_Donovan,,,
,,,2013-05-18T00:00:00Z,work period (end)
,,,32000000 | 60000000 | 70000000 | 53000000 | 84655124 | 65000000 | 41000000,social media followers
,,,75,mass
,,,England v Wales | England v Greece | Greece v England | England v Azerbaijan | Macedonia v England | Liechtenstein v England | 1998 FIFA World Cup Match 46 | England v Macedonia | 2006 FIFA World Cup Match 51 | England v Turkey | Slovakia v England | England v Finland | 2002 FIFA World Cup Match 23,points/goal scored by
,,,Premier League | Major League Soccer,league or competition
,,,association football,sport
,,,2006 FIFA World Cup | 2002 FIFA World Cup | UEFA Euro 2004 | 1998 FIFA World Cup | UEFA Euro 2000,participant in
,,,Chingford Foundation School | Glendower Preparatory School,educated at
,,,David Beckham,Commons category
,,,Beckham | Posh and Becks,named after
,,,2 | 1,number of matches played/races/starts
,,,English,native language
,,,AC Milan | England men's national association football team | England national under-21 association football team | Manchester United F.C. | Paris Saint-Germain F.C. | Preston North End F.C. | England national under-18 association football team | Real Madrid CF | LA Galaxy,member of sports team
,,,Los Angeles | London | Leytonstone | Beverly Hills,residence
,,,Q121433079 | Inter Miami CF,owner of
,,,Damian Hurley,godparent
,,,FIFA World Player of the Year | BBC Sports Personality of the Year Award | Best Male Soccer Player ESPY Award | Best MLS Player ESPY Award,nominated for
,,,350000000,net worth
,,,Obálky knih | Lentapedia,described by source
,,,BBC Sports Personality of the Year Award | BBC Sports Personality of the Year Lifetime Achievement Award | MLS Comeback Player of the Year Award | Sir Matt Busby Player of the Year | UEFA Club Footballer of the Year | Best Male Soccer Player ESPY Award | Best MLS Player ESPY Award,winner
,,,1992-09-23T00:00:00Z,work period (start)
,,,English,writing language
,,,Posh and Becks,part of
,,,David Beckham Academy,founded by
,,,0,total goals in career
,,,2006 FIFA World Cup Match 19,statistical leader
,,,midfielder,position played on team / speciality
,,,male,sex or gender
,,,David Beckham,name in native language
,,,human,instance of
,,,4,number of children
,,,David Beckham,Commons gallery
,,,United Kingdom,country of citizenship
,,,Becks,pseudonym
,,,Posh and Becks,has part(s)
,,,Christianity,religion or worldview
,,,UNICEF Goodwill Ambassador,position held
,,,England,country for sport
