label (Source A),value (Source A),value (common),value (Source B),label (Source B)
relatives,Jessica_Springsteen|Pamela_Springsteen,,,
child|children,3,Jessica Springsteen,,child
occupation,musician|Bruce_Springsteen__PersonFunction__1,singer|songwriter,television actor|film actor|pianist|guitarist|recording artist|film director|record producer|composer|folk music|rock music|blues,occupation|field of work
birthDate|birthYear,1949-09-23|1949,,1949-09-23T00:00:00Z,date of birth
title,List_of_awards_and_nominations_received_by_Bruce_Springsteen,,,
director,,Hunter of Invisible Game,Western Stars,director
birthName,,Bruce Frederick Joseph Springsteen,,birth name
participants,Glastonbury_Festival_2009,,,
primaryTopic,Bruce_Springsteen,,,
bandMember,E_Street_Band,,,
name,Bruce Springsteen,,Springsteen|Bruce|Joseph|Frederick,family name|given name
formerBandMember,Steel_Mill,,,
homepage,www.brucespringsteen.net,,,
mostAwards,37th_Annual_Grammy_Awards,,,
isPrimaryTopicOf,Bruce_Springsteen,,,
relative,Pamela_Springsteen,,,
after,Lenny_Kravitz,,,
,,,Bruce Springsteen,Commons gallery
,,,1580000|1341521|1820000|1307852|2010000|1220457|1351355|1410000,social media followers
,,,"Badlands|Because the Night|Thunder Road|Pink Cadillac|4th of July, Asbury Park (Sandy)|Fire|The River|The Rising|Letter to You|Out in the Street|Working on a Dream|Streets of Philadelphia|Cover Me|Rocky Ground|Radio Nowhere|My Hometown|Adam Raised a Cain|Dancing in the Dark|Electric|Ghosts|Hungry Heart|Born in the U.S.A.|Sanna (nyårsafton Åre 1983)|No Surrender|I'm on Fire|Factory",lyricist
,,,Pamela Springsteen,sibling
,,,Bruce Springsteen,name in native language
,,,Juno Award for International Album of the Year|Favorite Pop/Rock Male Artist|Polar Music Prize|American Music Award for Favorite Pop/Rock Album|MTV Video Music Award for Best Male Video,winner
,,,baritone,voice type
,,,The Center for Early Education|Freehold High School,educated at
,,,1.77,height
,,,Global Music Rights|PRS for Music,copyright representative
,,,Jessica Springsteen,father
,,,piano|harmonica|guitar,instrument
,,,The Boss,pseudonym
,,,Dancing in the Dark / Pink Cadillac,copyright holder
,,,USA for Africa|E Street Band|Steel Mill,has part(s)
,,,Cover Me,dedicated to
,,,Obálky knih,described by source
,,,United States of America,country of citizenship
,,,Ennio,recorded participant
,,,E Street Band|American Academy of Arts and Sciences,member of
,,,Karen Darvin,unmarried partner
,,,male,sex or gender
,,,Bruce Springsteen discography,discography
,,,English,native language
,,,Columbia Records,record label
,,,Bruce Springsteen,Commons category
,,,Renegades: Born in the USA,presenter
,,,rock music,genre
,,,1969-01-01T00:00:00Z,work period (start)
,,,Plastic Club,guest of honor
,,,human,instance of
