Alexa rank,rank
notable role,
notable work,
number of children,
number of matches played/races/starts,
object class of occurrence,
occupant,
occupation,occupation
official color,
official name,name
official symbol,
official website,website
officially opened by,
operating area,
operating income,
operating system,
operator,operator,operators
opposite of,
organizer,
original broadcaster,
original language of film or TV show,
owned by,
owner of,
oxidation state,state
parent,parent
parent organization,organisation,organization,parent
part of,
part of the series,
partially coincident with,
participant in,in
partner in business or sport,
partnership with,
payment types accepted,
performer,
performing organization,organisation,organization,participation
permanent resident of,
personal pronoun,
physically interacts with,
place of birth,
place of burial,
place of death,
place of detention,
platform,platform,platforms
playing hand,
plot expanded in,in
points/goal scored by,
political ideology,
position held,
position played on team / speciality,
possible treatment,medication,treatment
postal code,
powered by,
present in work,in
presenter,presenter
price,
principal investigator,
prize money,
produced by,
producer,producer,producers
production company,companies,company,production
production date,
production designer,designer,production
production statistics,production
pseudonym,
publication date,
published in,in
radius,
ranking,
raw material processed,
record label,label
recorded participant,recorded
recycling code,
references work,
refractive index,
related category,related
relative,relation,relative,relatives
relative permeability,relation,relative
relative to,
religion or worldview,
replaces,
reply to,
represented by,
represents,
residence,residence
review score,score
reward program,
right ascension,
ritual object,
safety classification and labelling,
screenwriter,writer
second family name in Spanish name,
separated from,
set during recurring event,
set in environment,in
set in period,in
setlist,
sex or gender,
sexual orientation,
shares border with,neighbourConstellations,bordering
shear modulus,
short-term exposure limit,
sibling,
signatory,
significant drug interaction,
significant person,person
singles record,
social media followers,
solid solution series with,
sound designer,sound
soundtrack release,
source of energy,
source of income,
speaker,
specific heat capacity,
speed of sound,
sponsor,sponsor,sponsors
sport,
sports discipline competed in,in
sports season of league or competition,
spouse,spouse
standard molar entropy,
standards body,
stated in,in
statistical leader,leader
stepparent,
stock exchange,
stock market index,
storyboard artist,artist
street address,
student,
student of,
studied in,in
subclass of,
subject lexeme,
sublimation temperature,
supplement to,
supported sports team,team
takes place in fictional universe,
talk show guest,show
team captain,team
television judge,
tensile modulus of elasticity,
theme music,music,theme
thermal conductivity,
thermal diffusivity,
time index,
time of discovery or invention,
time period,
time-weighted average exposure limit,
title,title
torch lit by,
total debt,
total equity,total
total goals in career,
total liabilities,total
total produced,total
total revenue,revenue,total
tracklist,
trained by,
translator,
type foundry,type
type locality (geology),
type of passengers/cargo,
typically sells,
ultimate tensile strength,
unmarried partner,partner
uses,
vapor pressure,
vessel,
victim(s),
victory,
voice actor,actor,voice
voice type,
wears,
website account on,
winner,winner
work location,
work period (end),
work period (start),
worn by,
writing language,language
