mainIngredient,
major,academic major
majorwins,
management,
manufacturer,
manufacturers,
manufacturier,
markTitle,
mascot,mascot
masters,
masterscupresult,
material,
materials,
meaning,
medaltemplatesExpand,
medaltemplatesTitle,
medicalCause,
medication,medical condition,medical condition treated,possible treatment
medium,
melt,
members,
membership,
menMostS,
meteorshowers,
militaryService,
mineral,
misc,
modem,
mostAssistsPlayer,
mostAwards,
mostCaps,
mostConvertedFreeKicksPlayer,
mostGoalsAssistsPlayer,
mostGoalsPlayerMatchPlayer,
mostGoalsPlayerPlayer,
mostNominations,
mostPlayerAppearances,
mostWins,
mostYears,
mostrecent,
mostwins,
mother,father,mother
motto,motto
music,theme music
musicBy,
musicComposer,
mvp,
name,alternative name,birth name,family name,given name,married name,name,official name
namedAfter,
namedFor,
namedafter,
namesake,
narrated,
narrator,narrator
nasdaq,
nationalgoals,
nationality,
nationalteam,
nationalyears,
naturalResources,
nbaHistorical,
neareststarname,
neighbourConstellations,
netIncome,
netIncomeYear,
network,
networkEn,
networks,
nextTitle,
nick,
nickname,nickname
nonscore,
notableMembers,
notableRestaurants,
notableWork,
notableWorks,
notableworks,
npReactorSupplier,
numEmployees,
numLocations,
numUsers,
numberOfEmployees,
numberOfLocations,
numberbfstars,
numberbrightstars,
numbermainstars,
numbermessierobjects,
numbernearbystars,
numberstarsplanets,
occupation,occupation
office,
oldestScorerPlayer,
olympicsdoublesresult,
olympicsresult,
onlinebooks,
openingTheme,
opentheme,
operatingIncome,
operatingSystem,
operator,operator
operators,operator
opponent,
opponents,
optionName,
organisation,affiliated worker organisation,parent organization,performing organization
organised,
organisers,
organization,affiliated worker organisation,affiliation,parent organization,performing organization
organized,
origin,
otherNames,
otherparty,
othertournaments,
othertournamentsdoubles,
otherwins,
owner,
ownerNames,
owners,
ownership,
owningCompany,
pages,
parent,godparent,parent,parent organization
parentCompany,
parentOrganisation,
parentOrganization,
parents,
participants,
participation,affiliation,performing organization
partner,unmarried partner
partners,
party,
pastMemberOf,
pastMembers,
pastschools,
patron,
patrons,
penaltiesMissedPlayer,
penaltiesScoredPlayer,
person,significant person
pgawins,
place,
plantOperator,
plantTurbines,
platform,platform
platforms,platform
player,
playerWins,
playeroftheyear,
plays,
portrayedBy,
portrayer,
position,
postmatch,
powerType,
predecessor,
predecessorLine,
predecessors,
prematch,
presenter,presenter
president,
prevTitle,
previousWork,
previousowners,
primaryMaterial,
primaryTopic,
primaryUser,
processor,
processors,
producedby,
producer,executive producer,producer
producers,producer
product,
production,production company,production designer,production statistics
productionCompanies,
productionCompany,
products,
profession,
profit,
programmingLanguage,
projectParticipant,
proteam,
prowins,
psUnitsManuModel,
psUnitsOperational,
publisher,
quadrant,
ramtype,
rank,Alexa rank
rating,BBFC rating,CBFC rating,ClassInd rating,FPB rating,Filmiroda rating,ICAA rating,IFCO rating,IGAC rating,IMDA rating,KAVI rating,MTRCB rating,Medierådet rating,RARS rating
reach,
recordLabel,
recorded,recorded participant
reflector,
region,
regionServed,
registry,Reaxys registry number
related,related category
relation,declination,relative,relative permeability
relations,
relative,relative,relative permeability
relatives,relative
released,
religion,
residence,residence
restaurants,
restingPlace,
retired,
revenue,total revenue
risks,
routeEnd,
runtime,
score,review score
screenplay,
seasonTopscorer,
secondTeam,
section,
series,
service,
services,
shipNamesake,
shipOwner,
shipSponsor,
show,talk show guest
showJudge,
significantBuilding,
silver,
silverMedalist,
singlesWins,
singlestitles,
sizeFrom,
soldby,
sound,sound designer
source,
space,
spacecraft,
species,
spinoffOf,
spinoffs,
sponsor,sponsor
sponsors,sponsor
spouse,spouse
stardistancely,
stardistancepc,
starmagnitude,
starring,
startYear,
state,oxidation state
statleague,
statsLeague,
statyear,
story,
structuralSystem,
studio,
subsequentWork,
subsidiary,
successor,
successors,
supportAct,
symbolism,
talk,
target,
team,supported sports team,team captain
teams,
technicalServiceProvider,
teleplay,
television,
termEnd,
termPeriod,
termStart,
thFuelPrimary,
theme,theme music
themeMusicComposer,
thirdTeam,
throws,
title,noble title,title
titleSponsor,
topGoalScorer,
topGoalscorer,
topPick,
topScorer,
torchLighter,
total,total equity,total liabilities,total produced,total revenue
totalLength,
tour,
tradeName,
tradingName,
treatment,medical condition treated,possible treatment
turnedpro,
tv,
tvstation,
type,type foundry
usopendoublesresult,
usopenresult,
valves,
voice,voice actor
voices,
volume,
volumeNote,
votes,
weapons,
website,official website
weight,
weightLb,
weightLbs,
wghofid,
wghofyear,
wimbledondoublesresult,
wimbledonresult,
winner,winner
wins,
won,
wordOrigin,
workInstitution,
workInstitutions,
workplaces,
works,
writer,author,screenwriter
writers,
yearpro,
years,
yearsActive,
youngestScorerPlayer,
youthclubs,
youthyears,
