label (Source A),value (Source A),value (common),value (Source B),label (Source B)
after,"Drake_(musician) | Into the West from Return of the King by Fran Walsh, Howard Shore and Annie Lennox | Natalie_Imbruglia",,,
founder | founders | foundedBy,Anger_Management_Tour,Shady Records | Anger_Management_Tour,,founded by
mostNominations,MTV_Video_Music_Award_for_Video_of_the_Year | 53rd_Annual_Grammy_Awards | American_Music_Awards_of_2010,,,
primaryTopic,Eminem,,,
bandMember,Bad_Meets_Evil,,,
birthPlace,"St._Joseph,_Missouri | St. Joseph, Missouri, U.S.","St. Joseph, Missouri, U.S.",St. Joseph,place of birth
source,– Stephen Thomas Erlewine,,,
birthName,Marshall Bruce Mathers III,,,
mostWins,Billboard_Music_Award_for_Top_Billboard_200_Album,,,
years,2003 | 2000.0,,,
formerBandMember,Outsidaz | D12,,,
name,Eminem | List_of_awards_and_nominations_received_by_Eminem,Marshall Bruce Mathers III,Mathers | Bruce | Marshall,family name | given name
works,Eminem_production_discography | Eminem_videography | Eminem_albums_discography | Eminem_singles_discography,,,
musicComposer,8_Mile_(film),,,
before,"Mariah_Carey | If I Didn't Have You from Monsters, Inc. by Randy Newman",,,
composer,Forgot_About_Dre,,,
children,,3,Hailie Jade Mathers | Debbie Nelson,child | number of children
birthYear | birthDate,1972 | 1972-10-17,1972-10-17,1972-10-17T00:00:00Z,date of birth
,,,The Singles | Not Alike | Music Box | Killshot | Godzilla | Sing for the Moment | Lucky You | Business | Guts Over Fear | The Real Slim Shady | Kings Never Die | Lose Yourself | Mockingbird | My Name Is | Berzerk | Superman | Not Afraid | Cold Wind Blows | Stan | Forgot About Dre | Darkness | Venom | Crack a Bottle | Without Me | Shake That | Cleanin' Out My Closet | My Life | Kill You | No Love | You Don't Know | That's All She Wrote | Bitch Please II | Won't Back Down | Fall | Campaign Speech | Cinderella Man | Rap God | Role Model | The Warning | Just Don't Give a Fuck | Like Toy Soldiers | Phenomenal | Dead Wrong | When I'm Gone | Kamikaze | Space Bound | Untouchable | Forever | Just Lose It | Hell Breaks Loose | Love the Way You Lie | Bagpipes from Baghdad | Mosh | Fast Lane | Under the Influence | Framed | Stepdad | The Ringer | '97 Bonnie & Clyde | Houdini | Guilty Conscience | Beautiful | Encore | Detroit Vs. Everybody | Greatest | C'mon Let Me Ride | One Day at a Time (Em's Version) | The Monster | We Made You | Smack That | Welcome 2 Detroit | I Need a Doctor | Jimmy Crack Corn | Kim | Beautiful Pain | Elevator | Ass Like That | The Way I Am | Survival | Nowhere Fast | 'Till I Collapse | River | Lighters | White America | Bad Guy | 3 A.M. | Infinite | My Mom | Old Time's Sake,lyricist
,,,Swiss Americans | Scottish Americans | Luxembourgish Americans | English Americans | German Americans | Polish Americans | Cherokee | Welsh Americans,ethnic group
,,,MTV Video Music Award for Best Male Video | Juno Award for International Album of the Year | MTV Movie Award for Best Male Performance | American Music Award for Favorite Soul/R&B Album | MTV Video Music Award for Best Editing | MTV Video Music Award for Video of the Year | MTV Video Music Award for Best Direction | American Music Award for Favorite Pop/Rock Album | Mnet Asian Music Award for Best International Artist | MTV Video Music Award for Best New Artist | American Music Award for Favorite Rap/Hip-Hop Album | Favorite Pop/Rock Male Artist | MTV Europe Music Award for Best Album,winner
,,,Ronnie Polkingharn | Todd K. Nelson,relative
,,,left-handedness,handedness
,,,Rap God | Double M | Slim Shady | EMINEM | M&M | Em,nickname
,,,Jelle,after a work by
,,,Eminem,Commons Creator page
,,,Bad Meets Evil | D12 | Soul Intent,has part(s)
,,,Eminem,Commons category
,,,22860636 | 22599833 | 31700640 | 22716982 | 292911,social media followers
,,,Eminem discography | Eminem singles discography | Eminem production discography,discography
,,,Midwest hip hop | rap rock | horrorcore | dirty rap | hardcore hip-hop | hip-hop | comedy hip-hop,genre
,,,Debbie Nelson,mother
,,,Eminem,pseudonym
,,,"Broadcast Music, Inc.",copyright representative
,,,voice,instrument
,,,Obálky knih,described by source
,,,Aftermath Entertainment | Shady Records | Interscope Records | Polydor Records | WEB Entertainment,record label
,,,The Slim Shady Show,creator
,,,Clinton Township,residence
,,,Hailie Jade Mathers,father
,,,Bad Meets Evil | D12,member of
,,,Lincoln High School | Oak Park High School,educated at
,,,173,height
,,,male,sex or gender
,,,Marshall Bruce Mathers III,name in native language
,,,American English,native language
,,,human,instance of
,,,Royce da 5'9,partner in business or sport
,,,United States of America,country of citizenship
,,,Christianity,religion or worldview
,,,Slim Shady,uses
,,,50 Cent: Bulletproof,voice actor
,,,tenor,voice type
,,,Enel,inspired by
