label (Source A),value (Source A),value (common),value (Source B),label (Source B)
nationalyears,2004 | 2003 | 2001 | 2002,,,
topScorer,2016–17_UEFA_Champions_League | Madrid_derby | 2007–08_UEFA_Champions_League | 2012–13_UEFA_Champions_League | 2015–16_UEFA_Champions_League | 2017–18_UEFA_Champions_League | 2013–14_UEFA_Champions_League | Real_Madrid_CF_in_international_football | 2014–15_UEFA_Champions_League,,,
director,Museu_CR7,,,
birthPlace,"Madeira | Funchal, Madeira, Portugal",Funchal Madeira Portugal,,place of birth
currentMember,2014_FIFA_Club_World_Cup_squads | 2008_FIFA_Club_World_Cup_squads | 2017_FIFA_Club_World_Cup_squads | 2002–03_Sporting_CP_season__Cristiano_Ronaldo__1 | Elche_CF__Cristiano_Ronaldo__1 | 2016_FIFA_Club_World_Cup_squads,,,
bracesPlayer,UEFA_Euro_2016_statistics | UEFA_Euro_2020_statistics | UEFA_Euro_2012_statistics,,,
seasonTopscorer,2009–10_Real_Madrid_CF_season,,,
years,2021 | 2018 | 2003 | 2009 | 2002,,,
mostCaps,History_of_the_Portugal_national_football_team | Portugal_national_football_team,,,
firstHatTrickPlayer,2018_FIFA_World_Cup_statistics,,,
topGoalScorer,2010–11_Copa_del_Rey,,,
homepage,ronaldo,,,
mostAwards,Golden_Globes_(Portugal),,,
notableWork,Emanuel_Santos,,,
hatTricksPlayer,2018_FIFA_World_Cup_statistics,,,
position,Forward_(association_football),,,
penaltiesMissedPlayer,2018_FIFA_World_Cup_statistics,,,
birthDate,1985-02-05,1985-02-05,1985-02-05T00:00:00Z,date of birth
oldestScorerPlayer,2022_FIFA_World_Cup_statistics,,,
partner,,Irina Shayk | Georgina Rodríguez,Desirée Cordero Ferrer | Georgina Rodríguez | Candice Swanepoel,unmarried partner
ambassadors,Clear_(shampoo),,,
,,,Madrid | Funchal | Turin | Manchester | Lisbon,residence
,,,"Luxemburg v Portugal | Poland vs Portugal | Portugal v Wales | Bosnia and Herzegovina v Portugal | Portugal v Poland | 2014 UEFA Champions League Final | Andorra v Portugal | Portugal v Sweden | Portugal v Estonia | Lithuania v Portugal - 2019-09-10 | Sweden v Portugal | Portugal v Lithuania | 2010 FIFA World Cup Match 30 | Portugal v Faroe Islands | Portugal v Denmark | 2016 FIFA Club World Cup Final | 2004 Summer Olympics, Morocco v Portugal, 15 August 2004 | Portugal v Switzerland | 2020 UEFA European Championship Match 23, Portugal v Germany | Portugal v Kazakhstan | Iceland v Portugal | Portugal v Latvia | European football championship 2012 Czech Republic - Portugal | 2004 UEFA European Championship Match 29, Portugal v Netherlands | 2008 UEFA European Championship Match 9, Czechia v Portugal | Portugal v Republic of Ireland | Portugal vs Scotland | Portugal 3-3 Spain | Cyprus v Portugal | Portugal v Luxembourg | 2012 UEFA European Championship Match 19, Portugal v Netherlands | 2017 FIFA Club World Cup Final | Denmark v Portugal | Portugal vs Poland | Portugal v Luxemburg | Portugal v Slovakia | Hungary v Portugal | Armenia v Portugal | Liechtenstein v Portugal | Northern Ireland v Portugal | 2020 UEFA European Championship Match 36, Portugal v France | Portugal v Azerbaijan | Faroe Islands v Portugal | Luxembourg v Portugal | Ukraine vs Portugal (2019) | Portugal v Hungary | 2004 UEFA European Championship Match 1, Portugal v Greece | 2008 UEFA Champions League Final | Portugal v Belgium | 2022 FIFA World Cup Match 15, Portugal v Ghana | Portugal v Bosnia and Herzegovina | Kazakhstan v Portugal | Portugal 1-0 Morocco | Estonia v Portugal | Portugal vs Croatia | New Zealand v Portugal | Latvia v Portugal | Portugal v Armenia | Russia v Portugal | Portugal v Liechtenstein | Serbia v Portugal | 2020 UEFA European Championship Match 11, Hungary v Portugal | match 46 of 2014 FIFA World Cup | Portugal v Andorra | 2006 FIFA World Cup Match 24 | Portugal v Russia | 2004 FA Cup Final",points/goal scored by
,,,2004 Summer Olympics | 2006 FIFA World Cup | UEFA Euro 2012 | UEFA Euro 2020 | La Liga | UEFA Euro 2016 | UEFA Euro 2004 | 2010 FIFA World Cup | 2022 FIFA World Cup | 2018 FIFA World Cup | UEFA Euro 2008 | 2014 FIFA World Cup,participant in
,,,El Bicho | Míster Champions | D7OS | El Comandante | CR7,pseudonym
,,,2 | 7,total goals in career
,,,Madeira Cristiano-Ronaldo Airport | Praça CR7 | Cristiano Ronaldo 7 | CR7 Museum,named after
,,,"2019 UEFA Nations League Finals | 2017 UEFA Champions League Final | 2010–11 Copa del Rey | 2013 International Champions Cup | Portugal 3-3 Spain | 2010 FIFA World Cup Match 45 | 2010 FIFA World Cup Match 13 | match 46 of 2014 FIFA World Cup | 2022 FIFA World Cup Match 15, Portugal v Ghana | UEFA Euro 2012 | 2016 FIFA Club World Cup | Portugal 1-0 Morocco | UEFA Euro 2020 | 2012–13 UEFA Champions League | 2013–14 UEFA Champions League | 2017–18 UEFA Champions League | 2010 FIFA World Cup Match 30 | 2014 UEFA Super Cup | 2014–15 UEFA Champions League | 2016–17 UEFA Champions League | 2015–16 UEFA Champions League | 2007–08 UEFA Champions League",statistical leader
,,,Ballon d'Or 2016 | Ballon d'Or | 2016 UEFA Men's Player of the Year Award | Best International Athlete ESPY Award | BBC World Sport Star of the Year | Q109423163 | UEFA Club Footballer of the Year | Pichichi Trophy | 2017 Ballon d'Or Para el TIGRE FALCAO,winner
,,,61200000 | 118000000 | 54400000 | 401000000 | 107583190 | 87000000 | 90266882 | 258000000 | 200000000 | 609427184 | 97847734 | 153000000,social media followers
,,,Premier League | Serie A | La Liga | Saudi Pro League | Liga Portugal,league or competition
,,,Portugal national under-17 football team | Portugal Olympic football team | Manchester United F.C. | Portugal national under-15 football team | Al-Nassr | Portugal national under-21 football team | Portugal men's national football team | Sporting CP | Portugal national under-20 football team | Real Madrid CF | Juventus FC,member of sports team
,,,85,mass
,,,association football,sport
,,,Cristiano Ronaldo,name in native language
,,,Cristiano Ronaldo dos Santos Aveiro,birth name
,,,Filomena da Aveiro | Alícia Aveiro | José Nunes de Viveiros | Matilde dos Santos da Viveiros | Humberto Cirilo Aveiro,relative
,,,COVID-19,medical condition
,,,2 | 8,number of matches played/races/starts
,,,model | association football player | fashion entrepreneur,occupation
,,,Kátia Aveiro | Elma dos Santos Aveiro | Hugo Aveiro,sibling
,,,CR7 | El Comandante | El Bicho,nickname
,,,2014–15 Real Madrid C.F. season | human,instance of
,,,FIFA World Player of the Year | Best International Athlete ESPY Award | Laureus World Sports Award for Sportsman of the Year,nominated for
,,,Bella Esmeralda | Cristiano Ronaldo Jr | Alana Martina dos Santos Aveiro | Maria Dolores dos Santos Aveiro | José Dinis Aveiro,child
,,,tax noncompliance,convicted of
,,,Portuguese,native language
,,,Nike,sponsor
,,,right-footedness,footedness
,,,Cristiano Ronaldo Instagram account,operator
,,,6,number of children
,,,Museo de Arte Moderno | British Museum,has works in the collection
,,,Portugal,country of citizenship
,,,Cristiano Ronaldo,Commons category
,,,forward | wing half,position played on team / speciality
,,,male,sex or gender
,,,Maria Dolores dos Santos Aveiro,mother
,,,Trump Tower,occupant
,,,Bella Esmeralda | Cristiano Ronaldo Jr | Alana Martina dos Santos Aveiro | José Dinis Aveiro,father
,,,Cristiano Ronaldo Instagram account,creator
,,,Larousse Encyclopedia online | Lentapedia,described by source
,,,Portugal,country for sport
,,,2002-01-01T00:00:00Z,work period (start)
