"isPrimaryTopicOf","Fluorine","","",""
"","","","Q20986125 | berkelium(III) fluoride | platinum hexafluoride | boron trifluoride | europium(III) fluoride | Q18211520 | deuterium fluoride | silver(II) fluorosulphate | sertindole | perfluorohexane | trifluoromethanesulfonate | hydrogen fluoride | perfluorooctanesulfonic acid | potassium heptafluorotantalate | Q16712756 | rhodium hexafluoride | fluspirilene | titanium difluoride | osmium heptafluoride | trifluperidol | chlorofluoroolefin | Bromine(III) fluorosulfate | trifluorosilane | yttrium(III) fluoride | pimozide | molybdenum hexafluoride | nickel potassium fluoride | protactinium(IV) fluoride | tetrakis(acetonitrile)copper(I) hexafluorophosphate | Q15965831 | 1,1,2,2-tetrafluoroethane | promethium(III) fluoride | perchloryl fluoride | potassium fluoroaluminate | silicon trichloride fluoride | nitryl fluoride | neptunium(VI) fluoride | haloperidol | praseodymium(III) fluoride | 2-Fluorobenzoic acid | (acetonitrile)[(2-biphenyl)di-tert-butylphosphine]gold(I) hexafluoroantimonate | triflic acid | Q18211707 | protactinium(V) fluoride | Q4332912 | beryllium sodium fluoride | Q18211432 | atorvastatin | hexafluoroacetone | xenon difluoride | chlorine monofluoride | Q19615021 | pentaoxygen difluoride | Q21010615 | Q16705852 | neodymium(III) fluoride | curium(III) fluoride | Q16712744 | fluorine azide | FLiBe | germanium tetrafluoride | fluorogermane | dexamethasone | Q18211433 | Q18211516 | ytterbium(III) fluoride | Q4493250 | vanadium pentafluoride | gold trifluoride | perfluoromethylcyclohexane | Q16635993 | silver fluoride | Q18211437 | Q16712738 | dioxygen monofluoride | cesium fluoride | lithium fluoride | tin(IV) fluoride | triphenylmethyl hexafluorophosphate | curium(IV) fluoride | gallium trifluoride | iron(II) fluoride | zirconium(II) fluoride | pentacarbonyl(trifluoromethyl)manganese | trifluoro(isocyanato)silane | chromium pentafluoride | tetraoxygen difluoride | nitrogen difluoride | fluoroantimonic acid | rhodium(IV) fluoride | chromium trifluoride | Q15628278 | plutonium hexafluoride | Q4332913 | potassium bifluoride | chloro(difluoro)silane | xenon fluoride nitrate | Q20986123 | Q15966006 | difluorine trioxide | xenon oxydifluoride | yttrium oxyfluoride | chromium hexafluoride | 1-chloromethyl-4-fluoro-1,4-diazobicyclo(2.2.2)octane bis(tetrafluoroborate) | hydrofluorocarbon | sodium hexafluoroaluminate | ammonium fluorosulfate | silver(II) fluoride | EuFOD | perfluoro(2-methyl-3-pentanone) | Q72488163 | (RS)-flephedrone hydrochloride | bromine pentafluoride | samarium(III) fluoride | Gold hexafluoride | barium fluoride | gold(V) fluoride | 3-Fluorobenzoic acid | mercury(IV) fluoride | thulium(III) fluoride | arsenic trifluoride | fluoroanion | 1-chloro-1,1-difluoroethane | PFPA | fluorine nitrate | Q16712746 | molybdenum tetrafluoride | tin(II) fluoride | chromium tetrafluoride | tetrafluoroberyllate(2-) | osmium(VIII) fluoride | difluorine | ammonium bifluoride | silver hexafluorophosphate | bromine trifluoride | germanium difluoride | lanthanum trifluoride | titanium tetrafluoride | chloryl fluoride | aluminum fluoride | sarin | hafnium tetrafluoride | triethyloxonium tetrafluoroborate | fluorosulfonic acid | halogens | actinium fluoride | neptunium(V) fluoride | norfloxacin | Q15628277 | uranium hexafluoride | carbonyl fluoride | fluoroacetic acid | cadmium tetrafluoroborate | Q18211518 | Nitrosonium fluorosulfonate | sodium fluorosilicate | disulfur difluoride | potassium fluoride | (RS)-cyclosarin | xenon dioxydifluoride | bismuth pentafluoride | hexafluorophosphoric acid | silver tetrafluoroborate | lithium hexafluoroarsenate | silicon tetrafluoride | perbromyl fluoride | vanadium tetrafluoride | octafluorocyclobutane | Q18405346 | zirconium(III) fluoride | perfluorononanoic acid | 4-Fluorobenzoic acid | perfluorocarbon | curium hexafluoride | nitrosyl fluoride | iridium trifluoride | hexafluoropropylene | Q15628286 | antimony pentafluoride | tetrafluoroboric acid | Q4161972 | Lanthanum oxyfluoride | phosphorus trifluoride | krypton hydrofluoride | Q21010651 | disulfur decafluoride | Q19365965 | isoflurane | iridium tetrafluoride | fluoroantimonate | californium dichloride | magnesium hexafluorogermanate | Nitrosonium hexafluoroantimonate | uranium tetrafluoride | fluorodisilane | periodyl fluoride | fluorine compounds in rocket technology | NpOF₃ | beryllium fluoride | Q18212221 | potassium hexafluorosilicate | levofloxacin | californium(IV) fluoride | potassium-hexafluorogermanate | fluphenazine | Q15628276 | rhodium pentafluoride | niobium(III) fluoride | trifluoronitrosomethane | Thallium(I) fluorosulfonate | tetrafluorohydrazine | hexafluorobenzene | rhenium hexafluoride | paliperidone | sodium hexafluorophosphate | pentacarbonyl(trifluoroacetyl)manganese | sodium hexafluorostannate | fluoromethane | vanadium(III) fluoride | perfluorooctane | Q18212088 | tetrafluoromethane | nitrogen trifluoride | Q4493233 | Bobbitt's salt | sodium tetrafluoroborate | fluorine compound | Q18211445 | sparfloxacin | platinum tetrafluoride | palladium(II,IV) fluoride | rhenium(V) fluoride | Q4161977 | technetium hexafluoride | sulfuryl fluoride | sulindac | ammonium hexafluoroaluminate | bifluoride ion | ethylsarin | Q19614438 | trifluoroborane--ammonia (1/1) | tungsten(VI) oxytetrafluoride | potassium aluminium fluoride | cobalt(II) fluoride | florbetaben f-18 | dichlorodifluorosilane | nitrogen monofluoride | risperidone | hexaoxygen difluoride | fluoroolefin | GV | Q4134935 | pertechnetyl fluoride | Q4161973 | Q21010624 | sodium hexafluoroantimonate | sorafenib | scandium fluoride | xenon tetrafluoride | perfluorooctanoic acid | octafluoropropane | 1,2,3,3,3-Pentafluoropropene | palladium tetrafluoride | americium hexafluoride | tetrabutylammonium fluoride | sulfur hexafluoride | thionyl fluoride | actinium oxyfluoride | americium(III) fluoride | perfluoroheptane | ruthenium(V) fluoride | molybdenum pentafluoride | Q18212199 | thallium(I) fluoride | Q20986176 | Q4332903 | potassium fluorozirconate | arsenic pentafluoride | neptunium(III) fluoride | Q18212064 | europium(II) fluoride | uranium trifluoride | potassium fluorosulfonate | Q15725996 | organofluorine | difluorosilane | Q4332876 | fluacizine | hexafluoroacetylacetone | dibromo(chloro)fluorosilane | xenon hexafluoroplatinate | caesium hexafluorocuprate(IV) | potassium fluorosulfite | sunitinib | krypton tetrafluoride | bromochlorofluoroiodomethane | soman | osmium(V) fluoride | tungsten(IV) fluoride | neptunium(IV) fluoride | krypton difluoride | cyanogen fluoride | Thorium trifluoride | krypton hexafluoride | Q4493251 | droperidol | 4-fluoroamphetamine | cobalt(III) fluoride | xenon oxytetrafluoride | fluoroform | silver subfluoride | boron trifluoride-diethyl etherate | 3,4-bis(trifluoromethyl)-1,2-dithiete | chlorodifluoroamine | tellurium tetrafluoride | fluoroquinolone | lead(II) fluoride | Radium fluoride | Q18211446 | pefloxacin | niobium(V) fluoride | sodium bifluoride | hexafluorozirconic acid | bismuth(III) oxyfluoride | dichloro(fluoro)silane | lead tetrafluoride | iloperidone | bis(pyridine)iodonium(I) tetrafluoroborate | norflurane | chlorine trifluoride | sulfur tetrafluoride | niobium(IV) fluoride | Q20986147 | Q15628287 | chlorofluorocarbon | Q18212224 | Q15965781 | Fluoroacetate dehalogenase | chlorotrifluorosilane | astemizole | 1,2-difluorobenzene | nickel(IV) fluoride | magnesium potassium fluoride | trifluoroacetic acid | perrhenyl fluoride | 2C-F | fluorine dioxide | potassium hexafluorophosphate | dysprosium(III) fluoride | fluoride glass | difluorocarbene | bromotrifluoromethane | iodine pentafluoride | indium(III) fluoride | Q15627993 | DL-ofloxacin | Q15628304 | sofosbuvir | bromyl fluoride | bromo(trifluoro)silane | Rubidium fluorosulfonate | fluorine perchlorate | halothane | Q4134933 | hexafluoroarsenic acid | Q16712752 | Q15965985 | fluoro(triisocyanato)silane | fluoxetine | Q18211468 | trichloromonofluoromethane | platinum pentafluoride | perfluorobutane | cerium(III) fluoride | Triiodine fluorosulfate | stannous hexafluorozirconate | trifluoperazine | ammonium tetrafluoroborate | NpOF₄ | lithium tetrafluoroborate | terbium(III) fluoride | phenyl triflimide | iodine trifluoride | Q4332891 | Q15725534 | Xenon(II) fluorosulfonate | iodine trifluoride dioxide | Q18405343 | chromous fluoride | Iron tetrafluoride | tungsten pentafluoride | neodymium difluoride | Q18211440 | einsteinium tetrafluoride | fluorosilane | vinylidene fluoride | Q15965891 | gadolinium(III) fluoride | trifluoroiodomethane | Q16712742 | plutonium(III) fluoride | 1,1,1,3,3,3-hexafluoroisopropanol | selenium hexafluoride | bromo(chloro)fluoro(iodo)silane | nitrogen pentafluoride | lithium fluorosulfate | polyvinylidene fluoride | Q4493202 | ytterbium(II) fluoride | radon difluoride | plutonium(V) fluoride | silver(III) fluoride | molybdenum trifluoride | calcium fluoride | benzoyl fluoride | hexafluoroplumbates | Q20986170 | difluoroamine | BSTFA | dioxygenyl hexafluoroplatinate | vanadium(V) oxytrifluoride | Q21009814 | sulfur chloride pentafluoride | Q21001815 | chlorine pentafluoride | sulfur trifluoride | berkelium tetrafluoride | ferric fluoride | iridium(VI) fluoride | perfluordecyltrichlorosilane | Q16635998 | ammonium tetrafluoroberyllate | vanadium(II) fluoride | Q16682762 | Q16712757 | molybdenum tetrafluoride oxide | Q16712749 | dinitrogen difluoride | Q16642504 | NpO₂F₂ | Q16712748 | perfluorohexanoic acid | Iodine fluorosulfate | Q15965774 | 5-fluoro-4-methoxy-2-nitroaniline | perfluoro 2-methoxy-1-(methoxymethoxy)propane | Q15628288 | ammonium hexafluorophosphate | iodine trifluoride oxide | iodine oxide pentafluoride | trifluoro(iodo)silane | manganese difluoride | tetrafluoropraseodymium | fluorpyromorphite | chlorotrifluoroethene | lithium hexafluoroantimonate | boron monofluoride | calcium hexafluorosilicate | platinum(II) fluoride | phosphorus pentafluoride | xenon fluoride | thorium tetrafluoride | Q26207783 | copper(II) fluoride | nickel(III) fluoride | tetrafluoroethylene | cadmium fluoride | [4-(Octyloxyphenyl)](phenyl)iodonium hexafluoroantimonate | Bromosyl trifluoride | bromine(I) fluorosulfate | ammonium fluoride | Organotrifluoroborate | iodine monofluoride | penfluridol | fluoroelastomer | Q15725529 | nickel(II) fluoride | difluoro(diiodo)silane | cupric hexafluorosilicate | barium hexafluorostannate(IV) | hexafluorosilicic acid | tungsten hexafluoride | Q4456667 | rhenium heptafluoride | holmium(III) fluoride | 2C-T-21 | manganese trifluoride | perfluoroisobutylene | tetrafluoroammonium | poly(chlorotrifluoroethylene-co-vinylidene fluoride) | Difluorine complex | selenium tetrafluoride | methylphosphonyl difluoride | strontium fluoride | Q26207781 | mercuric fluoride | Q18211444 | difluoroamino sulfur pentafluoride | osmium(IV) fluoride | uranium pentafluoride | potassium tetrafluoroborate | nitronium tetrafluoroborate | C01-A042 | olympiadane | phosphorodifluoridic acid | Q30969379 | ruthenium(VI) fluoride | Perfluoro-1,3-dimethylcyclohexane | Q4134939 | americium(IV) fluoride | plutonium tetrafluoride | thulium difluoride | xenon octafluoride | copper(I) fluoride | Q20986174 | potassium hexafluoroantimonate | dipotassium hexafluorotitanate | 1,1,2-trichlorotrifluoroethane | hypofluorous acid | fluocinolone acetonide | Q16712740 | Q19365962 | potassium heptafluoroprotactinate(V) | polonium hexafluoride | Nitronium hexafluoroantimonate | 2,2,2-trifluoroethanol | ruthenium tetrafluoride | perflenapent | Q20984953 | lutetium(III) fluoride | tellurium hexafluoride | gemifloxacin | bromine monofluoride | antimony trifluoride | Q19366065 | manganese(IV) tetrafluoride | perfluorinated compound | Cobalt tetrafluoride | titanium(III) fluoride | tantalum pentafluoride | Eu(hfc)3 | zirconium(IV) fluoride | tribromo(fluoro)silane | Rhenium tetrafluoride | fluoro(triiodo)silane | Q18211466 | mercurous fluoride | potassium heptafluoroniobate(V) | radon hexafluoride | xenon hexafluoride | Q4161978 | Q18211442 | Q26207782 | argon fluorohydride | iodine heptafluoride | trifluoroacetone | ceric fluoride | dibromo(difluoro)silane | iridium(V) fluoride | magnesium fluoride | xenon trifluoride hexafluoroantimonate | trifluoramine oxide | 2-fluoroamphetamine | thallium(III) fluoride | rubidium fluoride | Q18211435 | Crabtree's catalyst | gold(I) fluoride | xenon dioxytetrafluoride | difluoro(diisocyanato)silane | 1,1,1-trifluoroacetylacetone | rhodium(III) fluoride | oxygen difluoride | calcium fluoride phosphate | tetramethylammonium pentafluoroxenate | dibromodifluoromethane | cerium potassium fluoride | chromium difluoride dioxide | californium(III) fluoride | copper ditetrafluoroborate | zinc fluoride | benperidol | osmium(VI) fluoride | Q4493249 | poly(vinylidene fluoride-co-hexafluoropropylene) | uranyl fluoride | aluminium monofluoride | diboron tetrafluoride | iodyl fluoride | bismuth(III) fluoride | Ammonium hexafluoroindate | palladium(II) fluoride | sodium fluoride | cesium fluoroplutonate | nitrosonium tetrafluoroborate | perfluorobutanoic acid | ZBLAN | benzyl fluoride | trifluoroacetyl chloride | moxifloxacin","has part(s)"
"","","","fluornatromicrolite | fluor-rossmanite | fluorapatite | ferri-fluoro-katophorite | fluor-elbaite | fluorcaphite | fluorbarytolamprophyllite | fluorapophyllite-(K) | fluorarrojadite-(BaFe) | magnesio-ferri-fluoro-hornblende | fluoro-taramite | fluorannite | fluorokinoshitalite | fluoro-tremolite | fluorotetraferriphlogopite | fluorcalciobritholite | fluornatrocoulsellite | fluoro-richterite | fluor-liddicoatite | fluorapophyllite-(Na) | scandio-fluoro-eckermannite | ferri-fluoro-leakeite | fluoro-pedrizite | yftisite-(Y) | fluorcalciopyrochlore | fluoro-nybøite | fluorcarletonite | fluorphosphohedyphane | fluoro-riebeckite | potassic-fluoro-hastingsite | fluorkyuygenite | fluorcalciomicrolite | fluorowardite | potassic-fluoro-richterite | knasibfite | fluoro-pargasite | fluorbritholite-(Y) | fluor-schorl | ferro-fluoro-pedrizite | fluor-dravite | babefphite | fluorchegemite | fluor-tsilaisite | fluorellestadite | fluorcalcioroméite | fluorwavellite | fluoro-edenite | fluellite | ferro-ferri-fluoro-leakeite | magnesio-fluoro-hastingsite | magnesio-fluoro-arfvedsonite | fluorcanasite | potassic-magnesio-fluoro-arfvedsonite | fluorophlogopite | fluorbritholite-(Ce) | fluor-buergerite | fluornatropyrochlore | fluoro-cannilloite | potassic-fluoro-pargasite | fluor-rewitzerite | fluorvesuvianite | fluocerite-(Ce) | hydrofluoric acid | fluorluanshiweiite | fluorocronite | fluoro-leakeite | fluormayenite | fluorlamprophyllite | fluoborite | fluorstrophite","named after"
"","","","France","location of discovery"
"","","","fluorine-26 | halogens | fluorine-16 | fluorine-27 | fluorine-31 | fluorine-17 | fluorine-24 | fluorine-30 | fluorine-23 | fluorine-14 | fluorine-18 | fluorine-15 | fluorine-18m | fluorine-25 | fluorine-29 | nonmetal | fluorine-22 | fluorine-21 | fluor-uvite | diatomic nonmetal | fluorine-20 | fluorine-19 | fluorine-28","subclass of"
"","","","chemical element | lithophile","instance of"
"","","","Henri Moissan | André-Marie Ampère","discoverer or inventor"
"","","","Small Brockhaus and Efron Encyclopedic Dictionary | Encyclopædia Britannica 11th edition | Granat Encyclopedic Dictionary | Armenian Soviet Encyclopedia | Brockhaus and Efron Encyclopedic Dictionary | Explanatory Dictionary of the Living Great Russian Language, Second Edition | Meyers Konversations-Lexikon, 4th edition (1885–1890)","described by source"
"","","","1","vapor pressure"
"","","","Fluorine","Commons category"
"","","","9","atomic number"
"","","","38.75","immediately dangerous to life or health"
"","","","Jaroslav Kvíčala | Viktor O Iaroshenko | Jean'ne Shreeve","field of work"
"","","","perfluorinated compound | halogens | period 2","part of"
"","","","FLOX","made from material"
"","","","F","chemical formula"
"","","","0.08 | 1.33","ionic radius"
"","","","-363","melting point"
"","","","1s² 2s² 2p⁵ | [He] 2s² 2p⁵","electron configuration"
"","","","Vincent de Gournay","given name"
"","","","fluorine exposure","associated hazard"
"","","","3.98","electronegativity"
"","","","15.7","ionization energy"
"","","","-1","oxidation state"
"","","","F","element symbol"
"","","","1810-01-01T00:00:00Z","time of discovery or invention"
"","","","5360525","PubChem CID"
"","","","544","Gmelin number"
"","","","0.2","time-weighted average exposure limit"
"","","","fluorine exposure","has cause"
"","","","Fluorine","Commons gallery"
"","","","D01.268.380.300","MeSH tree code"
"","","","fluorine exposure","has effect"
"","","","LM6475000","RTECS number"
"","","","-307","boiling point"
"","","","18.998403162","mass"
